,Station code,waterbody,srcStateName,Minimum temperature of water for different water bodies,Maximum temperature of water for different water bodies,Minimum dissolved oxygen.,Maximum dissolved oxygen,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality for different water bodies,Maximum conductivity required for water quality for different water bodies,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required for different water bodies,Maximum  of Nitrate N + Nitrite N required for different water bodies,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum  of total coliform required for different water bodies,Maximum  of total coliform required for different water bodies,srcYear,YearCode
0,2057,CANAL,DELHI,,,,,,,,,,,,,100000,20000000000,100000,,2012,2012
1,2265,CANAL,GOA,27,34,7.5,7.8,5.5,5.9,50,61,1,1.6,0.06,0.11,7,7,150,,2012,2012
2,2266,CANAL,GOA,29,34,7.5,8.1,5.8,6.1,48,156,0.7,2.1,0.04,0.1,,,120,,2012,2012
3,2268,CANAL,GOA,26,33,3.3,6.7,5.5,7.4,3,1313,0.6,4.6,0.02,0.34,4,2600,150,,2012,2012
4,2836,CANAL,MANIPUR,,,,,,,,,,,,,,,,,2014,2014
5,2073,CANAL,GUJARAT,26,28,6.6,9.4,7.4,8.6,182,344,1,6,,0.87,7,9,21,,2012,2012
6,2354,CANAL,ANDHRA PRADESH,25,30,5.2,6.3,5.8,7.7,241,406,1,2.1,0.4,1.8,4,11,43,150,2016,2016
7,1113,CANAL,HARYANA,,,,,7.1,7.1,168,214,1.8,2.2,,,,,,,2017,2017
8,2074,CANAL,GUJARAT,27,33,4.2,8.8,7.7,8.4,241,1270,0.7,5,0.04,1.19,2,230,2,,2012,2012
9,1479,CANAL,DELHI,,,,,,,,,,,,,13000,30000,30000,,2012,2012
10,1111,CANAL,HARYANA,18,32,7,7.6,7.1,8.2,184,254,1.4,1.7,,0.2,,,,,2012,2012
11,20022,STP,PUNJAB,,,,,6.7,8.4,,,23,160,,,,,,,2017,2017
12,,STP,KERALA,,,,,6,9.3,,,20,290,,,,,,,2018,2018
13,,STP,PUNJAB,,,,,6.9,7.8,,,23,160,,,6.8,6.8,170,170,2018,2018
14,,CANAL,ODISHA,24,29,5.9,7.8,7.3,7.7,154,299,1.5,3.3,0.452,0.587,16000,160000,16000,160000,2018,2018
15,3067,DRAINS,ANDHRA PRADESH,21,27,5.4,6.2,7,7.8,220,420,1,1.2,0.2,2.44,3,28,240,2400,2012,2012
16,3066,DRAINS,ANDHRA PRADESH,20,22,0.8,4.5,6.7,7.1,580,1699,0.4,5.8,0.2,6.2,4,6,1700,2700,2012,2012
17,3065,DRAINS,ANDHRA PRADESH,26,34,0,8.2,7,8.5,886,1586,12,120,,13.8,160,900,1600,1600,2012,2012
18,3064,DRAINS,ANDHRA PRADESH,26,32,0,2.3,7.1,8.8,1112,1627,14,60,,6,300,500,900,900,2012,2012
19,3063,DRAINS,ANDHRA PRADESH,27,29,3.2,4.2,6.9,8.3,264,2314,26,120,2,34,28,160,150,580,2012,2012
20,3062,DRAINS,ANDHRA PRADESH,22,29,0.6,6.4,7,8.2,1437,2153,14,35,,56,300,900,330,1600,2012,2012
21,3061,DRAINS,ANDHRA PRADESH,25,29,0,6.9,7.3,8.2,1304,2157,10,65,,47.8,90,300,10,1460,2012,2012
22,3060,DRAINS,ANDHRA PRADESH,2,32,1.2,6.2,7.7,8.6,1405,2625,0.4,40,,6.6,140,500,1600,1600,2012,2012
23,3059,DRAINS,ANDHRA PRADESH,20,29,0,4,7,8.4,1133,1992,3.3,80,,32.3,170,500,900,1600,2012,2012
24,3058,DRAINS,ANDHRA PRADESH,23,31,1,5.3,6.4,8.1,759,1229,12,49,,35,170,1600,500,1600,2012,2012
25,3057,DRAINS,ANDHRA PRADESH,25,29,0,7,7.3,8.7,717,1749,8,40,,56,34,600,40,1200,2012,2012
26,3056,DRAINS,ANDHRA PRADESH,22,29,0,6,7.1,8.7,1007,1589,2.3,30,,131,300,900,285,1600,2012,2012
27,3055,DRAINS,ANDHRA PRADESH,22,31,0,4.1,7.1,8.2,978,1952,15.5,95,,89,280,500,550,1600,2012,2012
28,3053,DRAINS,ANDHRA PRADESH,22,29,5.2,6,6.9,7.7,359,48100,1.2,2.2,0.64,2.67,3,7,14,2400,2012,2012
29,3052,DRAINS,ANDHRA PRADESH,18,27,0.6,3,6.7,7.8,1126,2150,0.2,4.8,0.58,1.96,4,6,1700,3400,2012,2012
30,3051,CANAL,ANDHRA PRADESH,18,28,0.8,4.2,6.9,7.2,488,1239,0.4,2.9,0.16,1.63,2,6,1300,,2012,2012
31,2355,CANAL,ANDHRA PRADESH,21,28,5.6,6.2,7,7.9,391,33200,1.2,2,0.4,2.97,3,4,11,,2012,2012
32,2354,CANAL,ANDHRA PRADESH,21,28,5.4,6,6.6,7.8,283,425,1,1.2,0.24,0.79,3,3,20,,2012,2012
33,3054,DRAINS,ANDHRA PRADESH,26,31,0,7.4,7.9,11.2,841,1707,0.2,50,,1.34,240,300,1600,1600,2012,2012
34,1112,CANAL,HARYANA,18,30,6.7,7.9,7.3,8.2,210,337,1.1,1.5,,0.32,,,,,2012,2012
35,1318,CREEKS AND SEA WATER,MAHARASHTRA,28,29,1.3,6,7.1,7.7,3273,57310,4,25,0.1,6.2,225,1600,550,1600,2012,2012
36,1115,CANAL,HARYANA,19,31,6.7,7.4,7.4,8.1,178,253,2,2.1,0.2,0.4,,,,,2012,2012
37,1116,CANAL,HARYANA,20,24,7,7.3,7.3,8.1,206,410,2.2,2.6,,0.55,13000,20000,13000,,2012,2012
38,1419,CANAL,HARYANA,23,30,1.1,1.5,7.8,8.1,1020,1210,31,32,1.2,1.2,,,,,2012,2012
39,3461,CANAL,KERALA,25,29,2.5,5.9,6.7,8.2,486,36000,0.6,5.5,0.05,1.5,200,17000,700,,2012,2012
40,3467,CANAL,KERALA,27,29,0,3.5,6.2,7.4,160,6970,0.8,68,0.7,11.13,170,1400,800,,2012,2012
41,3469,CANAL,KERALA,26,29,2.7,6.4,6.2,7.7,42,80,0.8,2.6,0.19,1.17,20,1600,350,,2012,2012
42,1509,DRAINS,UTTAR PRADESH,,,,,,,,,,,,,200000,200000,300000,300000,2012,2012
43,2836,CANAL,MANIPUR,27,30,5.1,8.1,6.4,7.5,99,215,0.2,4.3,,,,,15,,2012,2012
44,2428,CANAL,ORISSA,26,29,5.5,10.2,7.1,8.2,148,205,1,2.7,0.18,1.17,4900,200000,11000,,2012,2012
