,Station code,srcStateName,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required required for ground water,Maximum  of Nitrate N + Nitrite N required required for ground water,Minimum  of Faecal Coliforms required for ground water,Maximum   of Faecal Coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,srcYear,YearCode
0,2253.0,ASSAM,24.0,26.0,6.6,6.8,289.0,428.0,1.5,3.2,0.1,0.16,,,1.0,1.0,2012,2012
1,2254.0,ASSAM,23.0,25.0,5.8,7.1,101.0,910.0,0.3,2.7,0.1,0.15,,,1.0,1.0,2012,2012
2,2255.0,ASSAM,24.0,27.0,6.0,7.0,357.0,448.0,0.7,2.5,0.1,0.1,,,1.0,1.0,2012,2012
3,2256.0,ASSAM,24.0,30.0,5.9,6.4,78.0,107.0,0.8,1.8,0.13,0.41,,,1.0,1.0,2012,2012
4,2257.0,ASSAM,23.0,31.0,6.5,6.8,345.0,422.0,0.3,0.8,0.1,0.22,,,1.0,1.0,2012,2012
5,2258.0,ASSAM,28.0,28.0,6.1,6.1,362.0,362.0,0.6,0.6,0.1,0.1,,,1.0,1.0,2012,2012
6,2259.0,ASSAM,32.0,36.0,6.7,7.0,191.0,935.0,1.5,1.5,0.13,0.13,,,1.0,1.0,2012,2012
7,2261.0,ASSAM,10.0,25.0,5.6,7.6,86.0,166.0,1.2,6.5,0.1,0.12,,,1.0,1.0,2012,2012
8,2262.0,ASSAM,13.0,13.0,6.5,6.5,302.0,302.0,5.4,5.4,0.1,0.19,,,1.0,1.0,2012,2012
9,2263.0,ASSAM,15.0,15.0,6.3,6.3,142.0,142.0,3.4,3.4,0.22,0.22,,,1.0,1.0,2012,2012
10,2264.0,ASSAM,12.0,15.0,6.7,6.8,431.0,690.0,3.3,5.2,0.1,0.1,,,1.0,1.0,2012,2012
